No,Produk,Gula/Sajian(g),Gula/100ml(g),Grade
1,Lemon Water,37,7.4,C
2,Ion Water,9,3.6,B
3,C1000 Vitamin Apple,14,10,C
4,C1000 Vitamin Lemon,16,11.4,D
5,C1000 Vitamin Orange,20,14.3,D
6,Hydro Coco,7,2.8,B
7,Vita D,9,2.7,B
8,Hemaviton C1000 Orange,20,14.3,D
9,Hemaviton C1000 Lemon,16,11.4,D
10,Hemaviton C1000 Less Sugar,13,6.5,C
11,Bear Band Gold,9,6.4,C
12,Bear Band,9,4.8,B
13,Indomilk Susu Steril Plain,8,"4,2",B
14,Indomilk Susu Steril Honey,19,10,C
15,Goodnes Kurma Royale,20,10.6,D
16,Tujuh Kurma,19,10,C
17,Entrasol,9,5,B
18,Ultramilk Moka,13,6.5,C
19,Ultramilk Strowberi,19,"9,5",C
20,Ultramilk Full Cream,8,4,B
21,Frisian Flag Low Fat Belgian,21,9.3,C
22,Frisian Flag Coconut,16,7.1,C
23,Frisian Flag Swiss Chocolate,20,8.9,C
24,Frisian Flag Strawberry,22,9.8,C
25,Frisian Flag Full Cream,10,4.4,B
26,Frisian Flag Susu Sereal Cokelat,12,5.3,C
27,Frisian Flag Susu Sereal Kopi,19,8.4,C
28,Cimory Marie Biscuits,9,7.2,C
29,Cimory Hazelnut,10,8,C
30,Cimory Cashew,10,8,C
31,Cimory Chocolate,10,8,C
32,Cimory Choco Malt,10,8,C
33,Cimory Chocolate Tiramisu,12,9.6,C
34,Cimory Chocolate Mint,12,9.6,C
35,Cimory Strawberry,9,7.2,C
36,Ultramilk Karamel,11,5.5,C
37,Ultramilk Taro,14,7,C
38,Milo,15,8.3,C
39,Milo Nutriactive Choco Banana Multigrain,15,8.3,C
40,Ultramilk Low Fat Cokelat,21,10.5,D
41,Ultramilk Low Fat,9,4.5,B
42,Teh Botol Less Sugar,11,4.9,B
43,Teh Pucuk Less Sugar,12,5,B
44,Teh Botol Original,16,7.1,C
45,Nu Choco Hazeltea,17,8.5,C
46,Nu Milk Tea,16,"8,0",C
47,Nu Green Tea Madu,18,"9,0",C
48,Nu Green Tea,16,"8,0",C
49,Teh Kotak Less Sugar,11,5.5,C
50,Fruit Tea Blackcurrant,22,8.8,C
51,Fruit Tea Lemon,23,9.2,C
52,Fruit Tea Freeze,22,8.8,C
53,Fruit Tea Strawberry,22,8.8,C
54,Fruit Tea Apel,22,8.8,C
55,Kopiko 78c,20,8.3,C
56,Good Day Funtastic Mocacinno,22,8.8,C
57,Good Day Avocado Delight,23,9.2,C
58,Nescafe Latte,17,7.7,C
59,Nescafe Mocha,22,"10,0",C
60,Nescafe Original,17,7.7,C
61,Coca Cola Limited Edition,0,0,A
62,Nu Yogurt Tea,20,10,C
63,Teh Kotak Lemon,20,10,C
64,Teh Kotak Melati,17,8.5,C
65,Nipis Madu,22,9.2,C
66,Ultramilk Coklat,19,9.5,C
67,Sari Kacang Ijo,20,10,C
68,Teh Pucuk Harum,18,7.5,C
69,Frestea Madu,21,8.4,C
70,Pocarie Sweat,14,5.6,C
71,Isoplus,23,6.6,C
72,Orange Water,40,8.8,C
73,Fanta,11,4.4,B
74,Coca Cola,27,10.8,D
75,Sprite,12,4.8,B
